id,RA_C,DEC_C,RA_M,DEC_M,DIF,MAG_R,MAG_V,MAG_B,MAG_err,CMAG_R,CMAG_V,CMAG_B,DATETIME,IMGNAME
643-094203,306.02728089999999,38.492551200000001,306.02733206195228,38.492514261323734,0.19600000000000001,---,---,9.7864579222328665,0.00021468572417689168,---,---,9.8920001983642578,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094163,305.97948680000002,38.485575900000001,305.97964403621796,38.485642658415053,0.504,---,---,12.303920255935497,0.00033835332134858544,---,---,12.270999908447266,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094143,305.96252529999998,38.492860899999997,305.96243938378694,38.492715953651683,0.57499999999999996,---,---,9.0168470571455011,0.00017434467375060687,---,---,9.369999885559082,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094180,305.9956353,38.560020000000002,305.99584309286695,38.560179034632824,0.81799999999999995,---,---,10.931071520792674,0.00027269549144659803,---,---,10.866999626159668,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.87976480558979,38.52234960915338,nan,---,---,17.506320506015207,0.00053606561636188759,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.87936504183125,38.522069205567554,nan,---,---,14.696313047945795,0.0080545505445920318,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.8788007900751,38.523041165202812,nan,---,---,13.900119056240817,0.0014144604118123574,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094187,306.00541120000003,38.5137687,306.00535492915157,38.513797966613218,0.19,---,---,9.7062181817811499,0.001087587985541283,---,---,9.7899999618530273,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094116,305.94150710000002,38.500873900000002,305.9415556512941,38.500832850647477,0.20100000000000001,---,---,10.144532006843072,0.00020740113087275313,---,---,10.149999618530273,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094279,306.13654450000001,38.510809799999997,306.13646149810069,38.510787796801971,0.247,---,---,10.870082575732187,0.00023753326493340253,---,---,10.772000312805176,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094185,305.99860740000003,38.502648100000002,305.99906471879757,38.502991508202783,1.786,---,---,12.377006150035385,0.00025729057985868974,---,---,12.293999671936035,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.99821091860002,38.502422301147298,nan,---,---,12.394223442100605,0.0003800377612483815,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094184,305.99809269999997,38.530006200000003,305.99772989500576,38.529881082143248,1.117,---,---,10.965761693707792,0.00037631310747306531,---,---,10.986000061035156,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.88018112425954,38.523222621190335,nan,---,---,14.939629293282717,0.00032018925850279634,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.87569340024982,38.564641976302113,nan,---,---,14.915322512531732,0.0014042251826953686,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094015,305.84486529999998,38.551489799999999,305.84505804268747,38.551580757910536,0.63400000000000001,---,---,12.000423756054225,0.00098129478276623872,---,---,11.96399974822998,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094197,306.01940889999997,38.5381334,306.01946393331855,38.538223877070955,0.36099999999999999,---,---,9.7564158331143069,0.00027756222332573754,---,---,9.8629999160766602,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-093975,305.80028859999999,38.5247387,305.80050755389669,38.524883851510516,0.80800000000000005,---,---,10.85498132197522,0.00021157985367722799,---,---,12.218999862670898,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.99854379800223,38.530373251628632,nan,---,---,10.970012478156315,0.00028637270987902716,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.858441907908,38.512390525707438,nan,---,---,15.528762442657616,0.00033204809668283181,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.88006668170658,38.522691477533996,nan,---,---,13.879381332991487,0.0015653016797780852,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
642-092649,305.8279359,38.388335599999998,305.82786546342123,38.38788617447851,1.6299999999999999,---,---,10.996249600041068,0.00030409544390821243,---,---,11.159999847412109,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
nan,nan,nan,305.9540529599073,38.399665224622311,nan,---,---,15.27895220461388,0.0011590892378162665,---,---,nan,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094286,306.15079300000002,38.443072800000003,306.15061257982956,38.44279482987416,1.123,---,---,12.359415976760459,0.0004447224526634222,---,---,12.265999794006348,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
nan,nan,nan,306.15116124263682,38.443229422167363,nan,---,---,12.375615229408622,0.00053069690999630183,---,---,nan,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094162,305.97926330000001,38.466352000000001,305.9792950984434,38.466196535824153,0.56699999999999995,---,---,10.13062491111679,0.00023226980181200818,---,---,10.163000106811523,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
643-094261,306.10511059999999,38.485246400000001,306.10509408963964,38.485154610193057,0.33400000000000002,---,---,10.397531698778659,0.00022997750303993617,---,---,10.309000015258789,2018-06-25 02:31:10.547000,M 29_Light_B_20180625_00000231.fits
